feature_setting,model,mae_mean,mae_std,rmse_mean,rmse_std,spearman_mean,late_mae_mean,n_features,n_splits
selected_top10,Ridge,0.22555726902362871,0.035403271738744746,0.2653880896453898,0.038724209637383745,0.5687440212233084,0.22529757963435135,10.0,3
selected_top20,Ridge,0.24544676932164777,0.023939244682719775,0.2943574677059284,0.017305422603881328,0.6338830134587173,0.2499013063725155,20.0,3
time,Ridge,0.2516049516948238,0.01840424097459223,0.2945662709730194,0.0181835999174679,0.4169892295600501,0.2535645932234956,28.0,3
original,Ridge,0.26760884522487743,0.048369218493335274,0.3227052088335898,0.05595573292480535,0.485725155430014,0.2903865887790232,52.0,3
selected_top30,Ridge,0.2678732739249592,0.026020238270513914,0.31700411262849243,0.031640435242444837,0.5391081648498943,0.27099841150053744,30.0,3
wavelet,Ridge,0.26961797795242,0.05164980302893132,0.3242118998128045,0.057457015906074264,0.3241219438118879,0.2665596304820404,72.0,3
frequency,Ridge,0.28090562183531403,0.0388575806675474,0.33611597533045307,0.04131599462836202,0.3717866826489112,0.34339068369760256,24.0,3
all_expanded,Ridge,0.2965501309008421,0.057016800348976486,0.35041677005976485,0.0676644809134497,0.41525431707246097,0.32817571335378753,124.0,3
