protocol,model,feature_setting,K,mae_mean,mae_std,rmse_mean,rmse_std,spearman_mean,spearman_std,late_mae_mean,late_mae_std,monotonic_violation_rate_mean,num_splits
cross_condition,TCN,wavelet_only,40,0.16676261403781015,0.059794251315335355,0.20221701186609028,0.06881892319950769,0.5080564711457091,0.05370986886067147,0.15502584189785013,0.07420113064474332,0.23136855457337227,3
cross_condition,Transformer,wavelet_only,40,0.1868877144106685,0.030452322562680278,0.22462496639870408,0.0384391858183461,0.5468860470184189,0.14409597171983382,0.17169421190068704,0.009723785154955637,0.22264388504733304,3
cross_condition,LSTM,wavelet_only,40,0.19918420513821863,0.021619323015584502,0.2316278493856955,0.027903156081952096,0.5438518687266698,0.03320007588603494,0.18993565051889658,0.04933876931164617,0.15104845414425264,3
cross_condition,Ridge,wavelet_only,NA,0.2515616566659496,0.032566598677087555,0.30032439339304406,0.03652644103791538,0.44365623981137065,0.12075980046726043,0.23851804943801894,0.058549800465879466,0.3345192351859754,3
cross_condition,latent_ode,wavelet_only,40,0.2664672287351706,0.025316601354462273,0.30732746551446094,0.026431964124103945,0.16489247300893092,0.0658765193380054,0.25838297757234924,0.04101821451202335,0.39540335386873676,3
