split_name,model,config_id,params,val_mae,val_rmse,val_spearman,best_epoch,val_late_mae
cross_train_C1_C2_test_C3,latent_ode,2,"{""latent_dim"": 16, ""lr"": 0.001, ""smooth_weight"": 0.0001, ""weight_decay"": 0.0001}",0.2866520736111591,0.3223375145907629,0.5109517883532039,17.0,0.1975979694162831
cross_train_C1_C2_test_C3,latent_ode,3,"{""latent_dim"": 32, ""lr"": 0.0005, ""smooth_weight"": 0.0001, ""weight_decay"": 0.0001}",0.2026859513289319,0.23689090853385514,0.7405683396482183,21.0,0.11636363519573384
cross_train_C1_C2_test_C3,latent_ode,4,"{""latent_dim"": 32, ""lr"": 0.001, ""smooth_weight"": 0.0005, ""weight_decay"": 0.0001}",0.14326185521526405,0.17246573596620565,0.4738052645029388,22.0,0.10370560510780769
cross_train_C1_C3_test_C2,Ridge,ridge_alpha_0.001,"{""alpha"": 0.001}",0.4017138243172137,0.4826067812432059,0.21477776671249676,,
cross_train_C1_C3_test_C2,Ridge,ridge_alpha_0.01,"{""alpha"": 0.01}",0.4012867474552073,0.48269813532224526,0.21477776671249676,,
cross_train_C1_C3_test_C2,Ridge,ridge_alpha_0.1,"{""alpha"": 0.1}",0.40095607850822534,0.48265752415073887,0.21213316249772995,,
cross_train_C1_C3_test_C2,Ridge,ridge_alpha_1.0,"{""alpha"": 1.0}",0.4026234508853396,0.48336962395799643,0.21409361899457535,,
cross_train_C1_C3_test_C2,Ridge,ridge_alpha_10.0,"{""alpha"": 10.0}",0.41492075417297625,0.49630937070260506,0.27864407624733145,,
cross_train_C1_C3_test_C2,Ridge,ridge_alpha_100.0,"{""alpha"": 100.0}",0.48466813920207785,0.5362896343868804,0.19628123836993797,,
cross_train_C1_C3_test_C2,Ridge,ridge_alpha_1000.0,"{""alpha"": 1000.0}",0.4427390594469627,0.5117752584550022,0.571455699150548,,
cross_train_C1_C3_test_C2,LSTM,1,"{""dropout"": 0.0, ""hidden_dim"": 32, ""lr"": 0.001, ""num_layers"": 1, ""weight_decay"": 0.0001}",0.15264033510612374,0.178822867521547,-0.14243884138620982,1.0,0.08721216507171749
cross_train_C1_C3_test_C2,LSTM,2,"{""dropout"": 0.1, ""hidden_dim"": 64, ""lr"": 0.001, ""num_layers"": 1, ""weight_decay"": 0.0001}",0.15679038574393744,0.1893762810462414,0.22320260109733794,1.0,0.0762125268047549
cross_train_C1_C3_test_C2,LSTM,3,"{""dropout"": 0.1, ""hidden_dim"": 128, ""lr"": 0.001, ""num_layers"": 1, ""weight_decay"": 0.0001}",0.16237120237583536,0.20313369535768763,0.20531271004955215,1.0,0.0842296546830783
cross_train_C1_C3_test_C2,LSTM,4,"{""dropout"": 0.1, ""hidden_dim"": 64, ""lr"": 0.001, ""num_layers"": 2, ""weight_decay"": 0.0001}",0.2838718300838119,0.32014594554501724,0.20758179231863444,1.0,0.22581681065109654
cross_train_C1_C3_test_C2,LSTM,5,"{""dropout"": 0.2, ""hidden_dim"": 128, ""lr"": 0.0005, ""num_layers"": 2, ""weight_decay"": 0.0001}",0.2465491977076118,0.31586415139790003,0.1901935191408876,1.0,0.1599113683582903
cross_train_C1_C3_test_C2,LSTM,6,"{""dropout"": 0.2, ""hidden_dim"": 64, ""lr"": 0.0005, ""num_layers"": 2, ""weight_decay"": 0.001}",0.15725703310794556,0.18771703615476143,0.63425320056899,6.0,0.07097792381007748
cross_train_C1_C3_test_C2,TCN,1,"{""dropout"": 0.1, ""hidden_dim"": 32, ""kernel_size"": 3, ""levels"": 2, ""lr"": 0.001, ""weight_decay"": 0.0001}",0.19909432843722152,0.23135462115807587,0.5474679943100996,2.0,0.10849274858194088
cross_train_C1_C3_test_C2,TCN,2,"{""dropout"": 0.1, ""hidden_dim"": 64, ""kernel_size"": 3, ""levels"": 2, ""lr"": 0.001, ""weight_decay"": 0.0001}",0.1916489238227148,0.22294430882081456,0.8825016803964172,1.0,0.10205160847267528
cross_train_C1_C3_test_C2,TCN,3,"{""dropout"": 0.1, ""hidden_dim"": 64, ""kernel_size"": 3, ""levels"": 3, ""lr"": 0.001, ""weight_decay"": 0.0001}",0.21910947248575294,0.2675322444530245,0.9129568724305566,1.0,0.12843902683293767
cross_train_C1_C3_test_C2,TCN,4,"{""dropout"": 0.1, ""hidden_dim"": 64, ""kernel_size"": 5, ""levels"": 3, ""lr"": 0.001, ""weight_decay"": 0.0001}",0.34474587925966493,0.4042645612096476,0.43634236318446845,1.0,0.300818969173477
