split_name,feature_setting,feature,group,correlation,monotonicity,robustness,total_score
cross_train_C1_C2_test_C3,selected_top30,v_abs_mean,time,0.7360150976162549,0.2043771912184033,0.9833548423526437,0.5480939095307532
cross_train_C1_C2_test_C3,selected_top30,v_rms,time,0.7282193770063021,0.19946346189273292,0.9827516927961528,0.5421702425398596
cross_train_C1_C2_test_C3,selected_top30,v_std,time,0.7284071036247901,0.19174307391366918,0.9828301060970447,0.5391837919875672
cross_train_C1_C2_test_C3,selected_top30,h_abs_mean,time,0.7369980718758751,0.17952669175308061,0.982013312538415,0.5385110438930113
cross_train_C1_C2_test_C3,selected_top30,h_wpt_l3_b2_rms,wavelet,0.7466001368326458,0.14713802331548975,0.975393684911759,0.5296946462336948
cross_train_C1_C2_test_C3,selected_top30,h_std,time,0.7267309088259961,0.17044474609531304,0.9804307672948939,0.5295864295806126
cross_train_C1_C2_test_C3,selected_top30,h_wpt_l3_b6_rms,wavelet,0.7380768327708478,0.15564982572306058,0.972488560788821,0.5285472027535302
cross_train_C1_C2_test_C3,selected_top30,h_rms,time,0.7266160895959446,0.1677222891264446,0.9801633984939534,0.5284133002979454
cross_train_C1_C2_test_C3,selected_top30,v_wpt_l3_b2_rms,wavelet,0.710834855086094,0.1861843563846464,0.9742191487678264,0.5273130849736882
cross_train_C1_C2_test_C3,selected_top30,v_wpt_l3_b7_rms,wavelet,0.7462276167072093,0.14151179347816306,0.9741680405624167,0.5271353298011116
cross_train_C1_C2_test_C3,selected_top30,v_wpt_l3_b1_rms,wavelet,0.7361112430205532,0.14023082243054208,0.967774247309094,0.5209253752134029
cross_train_C1_C2_test_C3,selected_top30,v_wpt_l3_b5_rms,wavelet,0.7454333822072539,0.1242886690567202,0.9766043803394492,0.5200925967602599
cross_train_C1_C2_test_C3,selected_top30,v_band_energy_5k_10k,frequency,0.6907951800344427,0.19517780080620903,0.9532099060320068,0.5187897009429057
cross_train_C1_C2_test_C3,selected_top30,v_wpt_l3_b4_rms,wavelet,0.7532894325677653,0.11145399906930117,0.9745570683719809,0.5186820227488012
cross_train_C1_C2_test_C3,selected_top30,h_wpt_l3_b4_rms,wavelet,0.7340313833519538,0.13390494139774411,0.969216636521979,0.5174993318872725
cross_train_C1_C2_test_C3,selected_top30,v_band_energy_10k_nyquist,frequency,0.7217766929245315,0.1503252852089984,0.9354404530252685,0.514562505848392
cross_train_C1_C2_test_C3,selected_top30,v_wpt_l3_b8_rms,wavelet,0.7353347672482305,0.12269865775752464,0.9664572222187349,0.5133925689489987
cross_train_C1_C2_test_C3,selected_top30,h_wpt_l3_b5_rms,wavelet,0.7278229939460199,0.12323898429951141,0.9690326354715235,0.5101103542399669
cross_train_C1_C2_test_C3,selected_top30,v_wpt_l3_b6_rms,wavelet,0.7254218732939837,0.12163221965486301,0.9760160499087038,0.5089654294998074
cross_train_C1_C2_test_C3,selected_top30,h_wpt_l3_b8_rms,wavelet,0.7364247017610385,0.10286785618985952,0.9702695877950525,0.5063864521359683
cross_train_C1_C2_test_C3,selected_top30,v_band_ratio_2k_5k,frequency,0.7360676007752882,0.1053212354548406,0.9542844206531478,0.5055907366348952
cross_train_C1_C2_test_C3,selected_top30,v_wpt_l3_b3_rms,wavelet,0.7048794581528797,0.13492372420959975,0.9737784060930103,0.5037870593695808
cross_train_C1_C2_test_C3,selected_top30,h_wpt_l3_b7_rms,wavelet,0.7261999535181461,0.0929629640919189,0.9701129634762039,0.497296458743461
cross_train_C1_C2_test_C3,selected_top30,h_band_energy_5k_10k,frequency,0.6861794741481813,0.14686260780164137,0.9532443523484055,0.49715921542958774
cross_train_C1_C2_test_C3,selected_top30,v_wav_cd1_energy,wavelet,0.6667135134831056,0.17070947581006685,0.9519470260102182,0.49683524966660136
cross_train_C1_C2_test_C3,selected_top30,v_wav_cd1_var,wavelet,0.6667097557965027,0.16660710109300625,0.951944482520891,0.49519216658754295
cross_train_C1_C2_test_C3,selected_top30,h_wpt_l3_b1_rms,wavelet,0.7090656973470625,0.10922550811673509,0.9644698182840348,0.4946700337486288
cross_train_C1_C2_test_C3,selected_top30,h_wpt_l3_b3_rms,wavelet,0.6933859271458873,0.11689655768596378,0.966546130053776,0.49010619965270674
cross_train_C1_C2_test_C3,selected_top30,h_peak_to_peak,time,0.7259034724705391,0.08111668757440257,0.9141081587899653,0.4868092271440271
cross_train_C1_C2_test_C3,selected_top30,h_band_energy_10k_nyquist,frequency,0.6948642301100934,0.11981522284423735,0.9059541682775436,0.48595362102049594
cross_train_C1_C2_test_C3,selected_top60,v_abs_mean,time,0.7360150976162549,0.2043771912184033,0.9833548423526437,0.5480939095307532
cross_train_C1_C2_test_C3,selected_top60,v_rms,time,0.7282193770063021,0.19946346189273292,0.9827516927961528,0.5421702425398596
cross_train_C1_C2_test_C3,selected_top60,v_std,time,0.7284071036247901,0.19174307391366918,0.9828301060970447,0.5391837919875672
cross_train_C1_C2_test_C3,selected_top60,h_abs_mean,time,0.7369980718758751,0.17952669175308061,0.982013312538415,0.5385110438930113
cross_train_C1_C2_test_C3,selected_top60,h_wpt_l3_b2_rms,wavelet,0.7466001368326458,0.14713802331548975,0.975393684911759,0.5296946462336948
cross_train_C1_C2_test_C3,selected_top60,h_std,time,0.7267309088259961,0.17044474609531304,0.9804307672948939,0.5295864295806126
cross_train_C1_C2_test_C3,selected_top60,h_wpt_l3_b6_rms,wavelet,0.7380768327708478,0.15564982572306058,0.972488560788821,0.5285472027535302
cross_train_C1_C2_test_C3,selected_top60,h_rms,time,0.7266160895959446,0.1677222891264446,0.9801633984939534,0.5284133002979454
cross_train_C1_C2_test_C3,selected_top60,v_wpt_l3_b2_rms,wavelet,0.710834855086094,0.1861843563846464,0.9742191487678264,0.5273130849736882
cross_train_C1_C2_test_C3,selected_top60,v_wpt_l3_b7_rms,wavelet,0.7462276167072093,0.14151179347816306,0.9741680405624167,0.5271353298011116
cross_train_C1_C2_test_C3,selected_top60,v_wpt_l3_b1_rms,wavelet,0.7361112430205532,0.14023082243054208,0.967774247309094,0.5209253752134029
cross_train_C1_C2_test_C3,selected_top60,v_wpt_l3_b5_rms,wavelet,0.7454333822072539,0.1242886690567202,0.9766043803394492,0.5200925967602599
cross_train_C1_C2_test_C3,selected_top60,v_band_energy_5k_10k,frequency,0.6907951800344427,0.19517780080620903,0.9532099060320068,0.5187897009429057
cross_train_C1_C2_test_C3,selected_top60,v_wpt_l3_b4_rms,wavelet,0.7532894325677653,0.11145399906930117,0.9745570683719809,0.5186820227488012
cross_train_C1_C2_test_C3,selected_top60,h_wpt_l3_b4_rms,wavelet,0.7340313833519538,0.13390494139774411,0.969216636521979,0.5174993318872725
cross_train_C1_C2_test_C3,selected_top60,v_band_energy_10k_nyquist,frequency,0.7217766929245315,0.1503252852089984,0.9354404530252685,0.514562505848392
cross_train_C1_C2_test_C3,selected_top60,v_wpt_l3_b8_rms,wavelet,0.7353347672482305,0.12269865775752464,0.9664572222187349,0.5133925689489987
cross_train_C1_C2_test_C3,selected_top60,h_wpt_l3_b5_rms,wavelet,0.7278229939460199,0.12323898429951141,0.9690326354715235,0.5101103542399669
cross_train_C1_C2_test_C3,selected_top60,v_wpt_l3_b6_rms,wavelet,0.7254218732939837,0.12163221965486301,0.9760160499087038,0.5089654294998074
cross_train_C1_C2_test_C3,selected_top60,h_wpt_l3_b8_rms,wavelet,0.7364247017610385,0.10286785618985952,0.9702695877950525,0.5063864521359683
cross_train_C1_C2_test_C3,selected_top60,v_band_ratio_2k_5k,frequency,0.7360676007752882,0.1053212354548406,0.9542844206531478,0.5055907366348952
cross_train_C1_C2_test_C3,selected_top60,v_wpt_l3_b3_rms,wavelet,0.7048794581528797,0.13492372420959975,0.9737784060930103,0.5037870593695808
cross_train_C1_C2_test_C3,selected_top60,h_wpt_l3_b7_rms,wavelet,0.7261999535181461,0.0929629640919189,0.9701129634762039,0.497296458743461
cross_train_C1_C2_test_C3,selected_top60,h_band_energy_5k_10k,frequency,0.6861794741481813,0.14686260780164137,0.9532443523484055,0.49715921542958774
cross_train_C1_C2_test_C3,selected_top60,v_wav_cd1_energy,wavelet,0.6667135134831056,0.17070947581006685,0.9519470260102182,0.49683524966660136
cross_train_C1_C2_test_C3,selected_top60,v_wav_cd1_var,wavelet,0.6667097557965027,0.16660710109300625,0.951944482520891,0.49519216658754295
cross_train_C1_C2_test_C3,selected_top60,h_wpt_l3_b1_rms,wavelet,0.7090656973470625,0.10922550811673509,0.9644698182840348,0.4946700337486288
cross_train_C1_C2_test_C3,selected_top60,h_wpt_l3_b3_rms,wavelet,0.6933859271458873,0.11689655768596378,0.966546130053776,0.49010619965270674
cross_train_C1_C2_test_C3,selected_top60,h_peak_to_peak,time,0.7259034724705391,0.08111668757440257,0.9141081587899653,0.4868092271440271
cross_train_C1_C2_test_C3,selected_top60,h_band_energy_10k_nyquist,frequency,0.6948642301100934,0.11981522284423735,0.9059541682775436,0.48595362102049594
cross_train_C1_C2_test_C3,selected_top60,v_max_abs,time,0.719639502975234,0.08473261049765703,0.9209792227780278,0.4858107179644826
cross_train_C1_C2_test_C3,selected_top60,v_spectral_energy,frequency,0.6152549398706297,0.20210358470021128,0.9589778282532494,0.48436668664072435
cross_train_C1_C2_test_C3,selected_top60,v_wpt_l3_b5_energy,wavelet,0.6788964300698974,0.1242886690567202,0.9508831718194641,0.4842519998395832
cross_train_C1_C2_test_C3,selected_top60,v_peak_to_peak,time,0.720137245228361,0.07699927089115083,0.9300949190900086,0.4838778228796417
cross_train_C1_C2_test_C3,selected_top60,v_energy,time,0.615326933248613,0.19946346189273292,0.9591769765343698,0.48336654903483667
cross_train_C1_C2_test_C3,selected_top60,v_min,time,0.7154696943267049,0.0782888250892192,0.9129942282344152,0.4803498000224816
cross_train_C1_C2_test_C3,selected_top60,v_wpt_l3_b7_energy,wavelet,0.6547060193459929,0.14151179347816306,0.9422376700950998,0.47818149407377164
cross_train_C1_C2_test_C3,selected_top60,v_max,time,0.7148531186882275,0.07086472322574097,0.9191026104145166,0.47768270967586185
