protocol,split_name,model,feature_setting,K,mae,rmse,spearman,late_mae,monotonic_violation_rate
cross_condition,cross_train_C1_C2_test_C3,latent_ode,wavelet_only,40.0,0.21651827451908523,0.2494875869501541,0.3873946820365588,0.257983619572977,0.47953020900324306
cross_condition,cross_train_C1_C2_test_C3,latent_ode,raw_waveform,40.0,0.22320610755267783,0.259602433293053,0.22023286802758588,0.24323995399022375,0.4979509723281489
cross_condition,cross_train_C1_C2_test_C3,LSTM,wavelet_only,40.0,0.22439691006975576,0.2644516409348026,0.27166646703075487,0.25609132743299856,0.5053444135852931
cross_condition,cross_train_C1_C2_test_C3,Transformer,wavelet_only,40.0,0.22629013589024302,0.26766501108251317,0.17360318420532356,0.2053326021032003,0.4966604521570699
cross_condition,cross_train_C1_C2_test_C3,TCN,wavelet_only,40.0,0.23240726404655704,0.2754926743614903,0.5394659174335953,0.2393926168807476,0.4633772018260441
cross_condition,cross_train_C1_C2_test_C3,Transformer,raw_waveform,40.0,0.2357421950569135,0.28032658791111287,0.09145127521428492,0.21696900951830692,0.507418635981917
cross_condition,cross_train_C1_C2_test_C3,LSTM,raw_waveform,40.0,0.2362913989773172,0.27607846563032595,0.0211461911191972,0.2856245040205874,0.4959048966085485
cross_condition,cross_train_C1_C2_test_C3,TCN,raw_waveform,40.0,0.23745655391674578,0.279012269126975,0.3236875556793954,0.2337330441917545,0.5011139196991437
cross_condition,cross_train_C1_C2_test_C3,Ridge,raw_waveform,,0.28958217092848954,0.3488271039926195,-0.011394904777919098,0.43101384571372636,0.4901313299678266
cross_condition,cross_train_C1_C2_test_C3,Ridge,wavelet_only,,0.3211897924077872,0.3831772773110777,0.009130235285699517,0.39255276541000433,0.48808142515312464
cross_condition,cross_train_C1_C3_test_C2,TCN,wavelet_only,40.0,0.16890322393520432,0.1929323077781389,0.6278909379236611,0.13264657083247264,0.42588289918427513
cross_condition,cross_train_C1_C3_test_C2,Transformer,wavelet_only,40.0,0.16927205788558472,0.1995709884882006,0.5981638945909931,0.11132296318457717,0.46155242830143284
cross_condition,cross_train_C1_C3_test_C2,TCN,raw_waveform,40.0,0.17674623355354457,0.20766906040539065,0.6632943028001139,0.14250442103389482,0.4791474638489894
cross_condition,cross_train_C1_C3_test_C2,LSTM,wavelet_only,40.0,0.189703058478127,0.21153865969540483,0.22458023449372835,0.1687788751623625,0.5520229036151262
cross_condition,cross_train_C1_C3_test_C2,LSTM,raw_waveform,40.0,0.199010395179063,0.22820296279547195,0.6539416627773007,0.19967008496882455,0.38467159407770357
cross_condition,cross_train_C1_C3_test_C2,latent_ode,raw_waveform,40.0,0.2212219145842842,0.24665188872723806,0.33815021320517646,0.2226948576447596,0.48743579173627616
cross_condition,cross_train_C1_C3_test_C2,latent_ode,wavelet_only,40.0,0.2337295508096684,0.2654703219336757,0.2257153524751269,0.22223740314684762,0.5910337287172412
cross_condition,cross_train_C1_C3_test_C2,Transformer,raw_waveform,40.0,0.23916923908090246,0.2807696046273286,0.683749556176269,0.17211818530572864,0.37634009430620574
cross_condition,cross_train_C1_C3_test_C2,Ridge,wavelet_only,,0.26977360341390644,0.32106591300592835,0.3966367346130986,0.2060984229378458,0.4221037883634513
cross_condition,cross_train_C1_C3_test_C2,Ridge,raw_waveform,,0.2778153337406867,0.34518522489762615,0.02713210085805774,0.390064368195556,0.4779425914124527
cross_condition,cross_train_C2_C3_test_C1,LSTM,wavelet_only,40.0,0.1357164688460235,0.1566574707768445,0.7171914428803988,0.1451885770292404,0.4053878793833615
cross_condition,cross_train_C2_C3_test_C1,TCN,wavelet_only,40.0,0.16512364770690596,0.19572849497542202,0.5127723524453073,0.16571900305682968,0.34061124185432157
cross_condition,cross_train_C2_C3_test_C1,TCN,raw_waveform,40.0,0.16805275105839415,0.2093346537630286,0.375959999450711,0.1991219986325453,0.4884678314006283
cross_condition,cross_train_C2_C3_test_C1,Transformer,raw_waveform,40.0,0.19409317113115582,0.25643173998027097,0.4626232020877361,0.20411655479532304,0.4611102821461487
cross_condition,cross_train_C2_C3_test_C1,Ridge,wavelet_only,,0.21789053803556618,0.26839250912140733,0.5665988615368656,0.201027703098271,0.3729696484161239
cross_condition,cross_train_C2_C3_test_C1,Transformer,wavelet_only,40.0,0.2272253250801684,0.2612131360444216,0.2813211116342987,0.14846950308583132,0.4844774943284733
cross_condition,cross_train_C2_C3_test_C1,latent_ode,raw_waveform,40.0,0.22992439494287406,0.2636090686239182,0.039374576804872954,0.31106507896516444,0.49202986480169175
cross_condition,cross_train_C2_C3_test_C1,LSTM,raw_waveform,40.0,0.2467371389430617,0.28084613624488375,0.21245704743504518,0.28752829433105864,0.464224727978635
cross_condition,cross_train_C2_C3_test_C1,Ridge,raw_waveform,,0.25871000543256184,0.3187255399426727,0.02292992984641564,0.3585829705964283,0.49525047691893087
cross_condition,cross_train_C2_C3_test_C1,latent_ode,wavelet_only,40.0,0.310995938788991,0.34421905007375,0.21088771772669315,0.3245444746582282,0.4922195445624877
