protocol,split_name,model,feature_setting,K,mae,rmse,spearman,late_mae,monotonic_violation_rate
cross_condition,cross_train_C1_C2_test_C3,LSTM,selected_top30,40.0,0.2183605824315768,0.25714053182649255,0.5022880621091937,0.25629471082430694,0.45083407910505147
cross_condition,cross_train_C1_C2_test_C3,latent_ode,selected_top30,40.0,0.224510327786234,0.2624974648275583,0.50362264422565,0.25686319440072525,0.46826090754468697
cross_condition,cross_train_C1_C2_test_C3,TCN,selected_top30,40.0,0.2255437946482009,0.2641829534213008,0.4489576662448681,0.2531762912686938,0.44431888253126156
cross_condition,cross_train_C1_C2_test_C3,Transformer,selected_top90,40.0,0.2287330335054266,0.2717614478691778,0.33257182477462016,0.2560552556587586,0.502117518681793
cross_condition,cross_train_C1_C2_test_C3,LSTM,selected_top90,40.0,0.2305579626087916,0.2701410660148678,0.364376152799486,0.28692844746141577,0.46926902905440626
cross_condition,cross_train_C1_C2_test_C3,latent_ode,selected_top60,40.0,0.23121978927941522,0.27159393295680884,0.5228121528809424,0.22465073066765834,0.4600646198883579
cross_condition,cross_train_C1_C2_test_C3,latent_ode,selected_top90,40.0,0.23275516122680284,0.27030871388039296,0.37683877042756553,0.27386548343573935,0.46252450233142994
cross_condition,cross_train_C1_C2_test_C3,TCN,selected_top90,40.0,0.232858993444326,0.27562160657837204,0.4682384605167235,0.26867553565483704,0.4619093890120691
cross_condition,cross_train_C1_C2_test_C3,Transformer,selected_top60,40.0,0.23751620724643613,0.2856929150303954,0.576754900122838,0.2039848631010809,0.5064315136517942
cross_condition,cross_train_C1_C2_test_C3,LSTM,selected_top60,40.0,0.23803102914280955,0.28300047718893645,0.19614169417976615,0.24537371185503137,0.5042536760410588
cross_condition,cross_train_C1_C2_test_C3,Transformer,selected_top30,40.0,0.24778915252161232,0.29997607701958817,0.529406893199685,0.15369524223057346,0.4604875152643187
cross_condition,cross_train_C1_C2_test_C3,TCN,selected_top60,40.0,0.2612575971116949,0.31417281107446104,0.5557585951293784,0.21806892147338988,0.4728956714178943
cross_condition,cross_train_C1_C2_test_C3,Ridge,selected_top30,,0.29527092616814343,0.3495852223606784,0.3320152671063106,0.3950364468797488,0.42966771043054014
cross_condition,cross_train_C1_C2_test_C3,Ridge,selected_top60,,0.3196296201799066,0.37207220557223564,0.27475929882117894,0.3471131771825624,0.41531966905662576
cross_condition,cross_train_C1_C2_test_C3,Ridge,selected_top90,,0.3550877039197493,0.41723424552167687,0.2164199115597923,0.4910780040797279,0.4174857265276405
cross_condition,cross_train_C1_C3_test_C2,TCN,selected_top30,40.0,0.12595050695055982,0.15107666947446763,0.6353145457936128,0.14824669661321885,0.44627316784856774
cross_condition,cross_train_C1_C3_test_C2,Transformer,selected_top30,40.0,0.15099266030807557,0.17489207403554524,0.7139238363502869,0.1590294793782146,0.31833738177833637
cross_condition,cross_train_C1_C3_test_C2,LSTM,selected_top30,40.0,0.15261054410457192,0.18151969112045988,0.34166608703741347,0.10985884460850856,0.3961700144490776
cross_condition,cross_train_C1_C3_test_C2,LSTM,selected_top90,40.0,0.16512745895525663,0.19378673845924163,0.4047573276791029,0.1311407136008996,0.5310256202904831
cross_condition,cross_train_C1_C3_test_C2,TCN,selected_top90,40.0,0.16646986334290287,0.18661276199210775,0.8954170640477604,0.14472417484228733,0.3266316966518906
cross_condition,cross_train_C1_C3_test_C2,Transformer,selected_top60,40.0,0.16857864585726942,0.19624717742541303,0.33588747894122417,0.11700380970595314,0.5456119325507183
cross_condition,cross_train_C1_C3_test_C2,TCN,selected_top60,40.0,0.18637923344961388,0.21755845208756835,0.42030564179642305,0.09968841778672803,0.5317097557902941
cross_condition,cross_train_C1_C3_test_C2,LSTM,selected_top60,40.0,0.18856862009830908,0.2218707092745258,0.47705425451006855,0.0842721609208951,0.5191987874261972
cross_condition,cross_train_C1_C3_test_C2,latent_ode,selected_top30,40.0,0.20739388697353284,0.23760301762711347,0.5590981036712359,0.17214257908968117,0.389102731877751
cross_condition,cross_train_C1_C3_test_C2,Transformer,selected_top90,40.0,0.22345123922297008,0.2543069804579416,0.3176250513038992,0.11833412639742098,0.5340447020404093
cross_condition,cross_train_C1_C3_test_C2,Ridge,selected_top60,,0.22681625159205124,0.28423344070796064,0.7363654633999092,0.17852909956028648,0.4176594686647551
cross_condition,cross_train_C1_C3_test_C2,Ridge,selected_top90,,0.2297508493289297,0.27109943207460524,0.8401525719323899,0.13250343172065215,0.3657632083528203
cross_condition,cross_train_C1_C3_test_C2,latent_ode,selected_top60,40.0,0.25631862981179365,0.2938892389036462,0.56935710590003,0.152518180655597,0.3965276844367102
cross_condition,cross_train_C1_C3_test_C2,latent_ode,selected_top90,40.0,0.25662276218404934,0.29454823455975,0.41155209313171764,0.12811041670220163,0.597482745628511
cross_condition,cross_train_C1_C3_test_C2,Ridge,selected_top30,,0.2648552384260442,0.31503035240351174,0.6603289260214986,0.14974812237689564,0.37117228970721755
