bearing_id,condition_id,n_points,mae,rmse,spearman,late_mae,monotonic_violation_rate,model,feature_setting,K,protocol,split_name,best_params,num_features
C3_Bearing3_3,C3,332,0.26895708165759874,0.3430665725831446,-0.47349322168235286,0.1220517287802723,0.5045317220543807,Transformer,selected_top30,40,cross_condition,cross_train_C1_C2_test_C3,"{""d_model"": 64, ""dim_feedforward"": 128, ""dropout"": 0.1, ""lr"": 0.0005, ""nhead"": 4, ""num_layers"": 2, ""weight_decay"": 0.0001}",30
C3_Bearing3_4,C3,1476,0.23956754717868273,0.27966888369893994,0.42305917956749567,0.3880565183183465,0.48271186440677966,Transformer,selected_top30,40,cross_condition,cross_train_C1_C2_test_C3,"{""d_model"": 64, ""dim_feedforward"": 128, ""dropout"": 0.1, ""lr"": 0.0005, ""nhead"": 4, ""num_layers"": 2, ""weight_decay"": 0.0001}",30
C3_Bearing3_5,C3,75,0.2258763082822164,0.26795052406954256,0.9821906116642958,0.09003173581817571,0.33783783783783783,Transformer,selected_top30,40,cross_condition,cross_train_C1_C2_test_C3,"{""d_model"": 64, ""dim_feedforward"": 128, ""dropout"": 0.1, ""lr"": 0.0005, ""nhead"": 4, ""num_layers"": 2, ""weight_decay"": 0.0001}",30
C3_Bearing3_1,C3,2499,0.21890627738938448,0.2521678370309595,0.9610365468620966,0.2787493604526848,0.49159327461969576,latent_ode,selected_top30,40,cross_condition,cross_train_C1_C2_test_C3,"{""latent_dim"": 8, ""lr"": 0.001, ""smooth_weight"": 0.0001, ""weight_decay"": 0.0001}",30
C3_Bearing3_2,C3,2457,0.20401429029079352,0.2519859488796007,0.640720391529423,0.15858320087557834,0.497557003257329,latent_ode,selected_top30,40,cross_condition,cross_train_C1_C2_test_C3,"{""latent_dim"": 8, ""lr"": 0.001, ""smooth_weight"": 0.0001, ""weight_decay"": 0.0001}",30
C3_Bearing3_3,C3,332,0.23715229182369468,0.27585852501532365,-0.8875062592166658,0.3760107914824878,0.5045317220543807,latent_ode,selected_top30,40,cross_condition,cross_train_C1_C2_test_C3,"{""latent_dim"": 8, ""lr"": 0.001, ""smooth_weight"": 0.0001, ""weight_decay"": 0.0001}",30
C3_Bearing3_4,C3,1476,0.23451061760096528,0.2724330064672791,0.8726818876148467,0.3553359031439298,0.49627118644067797,latent_ode,selected_top30,40,cross_condition,cross_train_C1_C2_test_C3,"{""latent_dim"": 8, ""lr"": 0.001, ""smooth_weight"": 0.0001, ""weight_decay"": 0.0001}",30
C3_Bearing3_5,C3,75,0.22796816182633242,0.2600420067446287,0.931180654338549,0.1156367160489454,0.35135135135135137,latent_ode,selected_top30,40,cross_condition,cross_train_C1_C2_test_C3,"{""latent_dim"": 8, ""lr"": 0.001, ""smooth_weight"": 0.0001, ""weight_decay"": 0.0001}",30
C2_Bearing2_1,C2,491,0.35889288554463133,0.445781732656826,0.05711982888193817,0.0685795969979166,0.45510204081632655,Ridge,selected_top30,NA,cross_condition,cross_train_C1_C3_test_C2,"{""alpha"": 0.01}",30
C2_Bearing2_2,C2,161,0.2004798489784741,0.23494812648608618,0.9182183644291235,0.13965643883178322,0.2875,Ridge,selected_top30,NA,cross_condition,cross_train_C1_C3_test_C2,"{""alpha"": 0.01}",30
