protocol,model,feature_setting,K,mae_mean,mae_std,rmse_mean,rmse_std,spearman_mean,spearman_std,late_mae_mean,late_mae_std,monotonic_violation_rate_mean,num_splits
cross_condition,TCN,selected_top30,40.0,0.17211606840843066,0.050192230639770054,0.2034935675646071,0.05700511737950599,0.6373812371318819,0.18946537055826088,0.1759792020127345,0.06773192563857114,0.39883256709290144,3
cross_condition,TCN,selected_top90,40.0,0.17246446164577078,0.05763153409512299,0.20335580058528724,0.06551890474094808,0.6955209211976987,0.21490206521095503,0.18144535922878868,0.07585745625486652,0.36915337390343234,3
cross_condition,LSTM,selected_top90,40.0,0.1748184039134,0.05158142904602902,0.20601476691005294,0.05897091407444114,0.4828842279416259,0.17148365807113766,0.18580904301911702,0.08766830261570244,0.46292465844839875,3
cross_condition,LSTM,selected_top30,40.0,0.17925618869429605,0.03460032091963829,0.2112390029829988,0.04032401266101649,0.5755216299193979,0.27780865024019563,0.16581854575969326,0.07908479904133335,0.3889432877130054,3
cross_condition,Transformer,selected_top60,40.0,0.18661600943952514,0.044699790240326207,0.22287108499766062,0.05461549401741619,0.4630746579023269,0.12100044070893294,0.16062748792323672,0.043491138182543895,0.473711116702553,3
cross_condition,latent_ode,selected_top30,40.0,0.18846817377734446,0.04836675464955227,0.22110195989641246,0.051661807473188597,0.5827398370460742,0.09321442664511378,0.1830756347300014,0.06897399634899737,0.43684701621039607,3
cross_condition,LSTM,selected_top60,40.0,0.19517853066915422,0.03995968418970629,0.23053663281082815,0.04871247821519917,0.44548591315731967,0.23515466462367246,0.14630904959480742,0.08669901637801548,0.4671935354769136,3
cross_condition,TCN,selected_top60,40.0,0.19678887917950924,0.05994564038949819,0.2389163542705275,0.06717420809570196,0.5397644549793008,0.11231909706720906,0.13775959366851875,0.0695811182842361,0.45710553059977216,3
cross_condition,Transformer,selected_top90,40.0,0.2019498969671023,0.04189889625074428,0.2348119437150412,0.04965535475616338,0.38039920846259495,0.09607485174352118,0.1785002975695692,0.07048797623771881,0.4799019560840332,3
cross_condition,Transformer,selected_top30,40.0,0.206292121949296,0.04985248793962251,0.2433636806275777,0.06337967024649342,0.6050278926203404,0.09665423951643522,0.17186479149629674,0.026983135354486917,0.37016999913249116,3
cross_condition,latent_ode,selected_top90,40.0,0.23182887199275637,0.025269770796691605,0.26761265364737125,0.02837982044373408,0.40726297760978153,0.028522551697894718,0.1949803050489152,0.07361664394473232,0.496740128815283,3
cross_condition,latent_ode,selected_top60,40.0,0.24494338034243066,0.012713142026965602,0.2785953358824603,0.01326063102539238,0.4987581736775452,0.08521143346954191,0.20735092867156116,0.04855221643249998,0.4391630595486724,3
cross_condition,Ridge,selected_top60,,0.25389269995085584,0.0572237224503863,0.30859525944089233,0.055465367994504675,0.4643223985736449,0.24160354151626723,0.28222827215509605,0.09074722217252919,0.4366837668111325,3
cross_condition,Ridge,selected_top30,,0.26787327392495913,0.026020238270513908,0.3170041126284924,0.03164043524244483,0.5391081648498943,0.18021648797251358,0.2709984115005374,0.12266792238088706,0.40511589685816357,3
cross_condition,Ridge,selected_top90,,0.28186550827768725,0.0652799958534348,0.3335271014064323,0.0753555436620039,0.38972897144981666,0.39351614879155095,0.3208337397764674,0.17997016341490613,0.4156923713266716,3
