model,mae,rmse,r2,num_splits
TCN,0.22670288598776397,0.2767872877834227,-0.0022610018795093945,3
latent_ode,0.22940437169208183,0.28380445319585573,-0.050350437607312636,3
condition_aware_ode,0.23366110680586857,0.2850128334498534,-0.041805549556438136,3
LSTM,0.2401335146848669,0.2913627032536523,-0.10641977011748083,3
Transformer,0.2630864932783105,0.3248831637078349,-0.3488943122480963,3
Ridge,0.31607552540932193,0.40696614994199254,-0.9802040486451237,3
