protocol,split_name,model,input_type,best_params,mae,rmse,r2,num_train_bearings,num_val_bearings,num_test_bearings
mixed_condition,mixed_condition,Ridge,current_window_features,"{""alpha"": 100.0}",0.1986391245862299,0.2383153743572571,0.3200194620496213,9,3,3
mixed_condition,mixed_condition,latent_ode,feature_sequence_continuous_time,"{""batch_size"": 64, ""best_epoch"": 2, ""best_val_mae"": 0.23955464490477615, ""conditioning"": ""none"", ""epochs"": 100, ""latent_dim"": 16, ""learning_rate"": 0.001, ""ode_method"": ""rk4"", ""patience"": 10, ""smooth_weight"": 0.0001}",0.2089276143143792,0.257280988330624,0.1946726653047495,9,3,3
mixed_condition,mixed_condition,Transformer,feature_sequence_transformer,"{""batch_size"": 64, ""best_epoch"": 1, ""best_val_mae"": 0.24004537793139755, ""d_model"": 64, ""dim_feedforward"": 128, ""dropout"": 0.1, ""epochs"": 100, ""learning_rate"": 0.001, ""nhead"": 4, ""num_layers"": 2, ""patience"": 10}",0.2691908696673299,0.327269040339468,-0.3030674471300343,9,3,3
mixed_condition,mixed_condition,LSTM,feature_sequence,"{""batch_size"": 64, ""best_epoch"": 18, ""best_val_mae"": 0.2225850738849017, ""dropout"": 0.1, ""epochs"": 100, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""num_layers"": 1, ""patience"": 10}",0.3648410165219823,0.4537475103908008,-1.504872125416195,9,3,3
mixed_condition,mixed_condition,condition_aware_ode,feature_sequence_continuous_time,"{""batch_size"": 64, ""best_epoch"": 1, ""best_val_mae"": 0.2777751756897517, ""conditioning"": ""film_encoder_ode_decoder"", ""epochs"": 100, ""latent_dim"": 16, ""learning_rate"": 0.001, ""ode_method"": ""rk4"", ""patience"": 10, ""smooth_weight"": 0.0001}",0.390325822975493,0.4644842378823369,-1.624816886740858,9,3,3
mixed_condition,mixed_condition,TCN,feature_sequence,"{""batch_size"": 64, ""best_epoch"": 33, ""best_val_mae"": 0.23367208495295383, ""dropout"": 0.1, ""epochs"": 100, ""hidden_dim"": 64, ""kernel_size"": 3, ""learning_rate"": 0.001, ""levels"": 3, ""patience"": 10}",0.4167596661259036,0.5088427854204371,-2.1500996476661403,9,3,3
