model,mae,rmse,r2,num_splits
Transformer,0.25970863493894575,0.31126784444023675,-0.4881092784955815,15
LSTM,0.26156575862498355,0.313503749593835,-0.4757120514661078,15
TCN,0.2865002339866624,0.3394066612442229,-0.7738615960838607,15
condition_aware_ode,0.2954901235970055,0.34546990679035866,-0.8261987228232255,15
latent_ode,0.3036229856619615,0.3519228256713916,-0.8671025787026212,15
Ridge,0.4381747885981613,0.5455316130836027,-3.9873256684180722,15
