feature_setting,feature_label,mae,rmse,r2,num_features,num_splits
wavelet,Wavelet,0.25776114138038925,0.33341222984658286,-0.33882813214454766,72.0,3
time,Time,0.26288070034120364,0.34907813221352413,-0.48476055087677944,28.0,3
selected_top30,Top30,0.26687429693602643,0.32811344157402306,-0.2989334121899823,30.0,3
raw_signal,Raw signal,0.27542276221650114,0.3484938622918614,-0.44912004523532073,512.0,3
selected_top60,Top60,0.3025302712814059,0.37760273767210534,-0.7633118098760004,60.0,3
frequency,Frequency,0.31369747574589707,0.39912581587863283,-0.9028323082075597,24.0,3
original,Original,0.31607552540932193,0.4069661499419926,-0.9802040486451237,52.0,3
all_expanded,All-expanded,0.3732097504142476,0.44792716757997003,-1.455884522572206,124.0,3
