protocol,model,feature_setting,K,mae_mean,mae_std,rmse_mean,rmse_std,spearman_mean,spearman_std,late_mae_mean,late_mae_std,monotonic_violation_rate_mean,num_splits
cross_condition,TCN,wavelet_only,40.0,0.16596184320006746,0.05740641631196143,0.2038933197735424,0.06800927481011605,0.6693020781917506,0.06122629899408458,0.1675115034298177,0.07023594220225439,0.15748048821454927,3
cross_condition,LSTM,wavelet_only,40.0,0.17316192532346797,0.052738446522398466,0.20416028136831968,0.06051747592334641,0.45646128432146554,0.09868905328096973,0.16159840393015637,0.10078768018714054,0.11695332784997862,3
cross_condition,Transformer,original,40.0,0.17701935527102672,0.03834974266311993,0.2067954363619485,0.044820991132496796,0.48923720285383315,0.16610786572573716,0.17423780751215712,0.08392161428879269,0.14509834536341373,3
cross_condition,Transformer,frequency,40.0,0.1854270965138718,0.027604280060258835,0.2185290044667216,0.0326206934942818,0.7312893337969685,0.07745626275683692,0.17569336318154857,0.08933534181169107,0.1508511161923161,3
cross_condition,LSTM,frequency,40.0,0.19381115238442906,0.058861601381505035,0.22982239522960057,0.07267642761730884,0.5379044303492361,0.37578219456120643,0.15854447037484212,0.13779947019633146,0.0450737834292247,3
cross_condition,TCN,original,40.0,0.19734654326239331,0.04170158929458579,0.22767746963357358,0.053573205771711555,0.6928504252631303,0.13790323691644063,0.17414627807664265,0.08884534939565593,0.163816660878658,3
cross_condition,LSTM,time,40.0,0.19887358392103416,0.027019664888804407,0.2311191107636471,0.03182088937695256,0.36672952952982224,0.25951841830616895,0.19700280066225653,0.07649691543188102,0.10448429079911403,3
cross_condition,Transformer,time,40.0,0.20361519490697474,0.02403886110957559,0.23423469351257495,0.02825839582346104,0.320733958792685,0.310327096348882,0.182950733341913,0.05050413925218013,0.1902835820971115,3
cross_condition,latent_ode,time,40.0,0.20614998795123965,0.04011298656910339,0.24476326315365093,0.0386957996729488,0.34373352064093554,0.25370215291350057,0.22939709821520018,0.034826425965566135,0.3198652538009051,3
cross_condition,Transformer,wavelet_only,40.0,0.2114739309829309,0.02962870708421305,0.24574533414344815,0.038324855078807854,0.3950882944636505,0.15457639946101961,0.18601116883204216,0.018086131609956226,0.23491077173379502,3
cross_condition,LSTM,original,40.0,0.22755041829945777,0.02970986796442824,0.26740300233059855,0.041489446681391276,0.4686084215226578,0.1677645765464766,0.20720830300563983,0.1111456130706567,0.0904019210592792,3
cross_condition,TCN,time,40.0,0.2304803344928286,0.024349599806629183,0.26990216344215134,0.020845726938797975,0.3946100298838788,0.2319822732428683,0.21810850830626402,0.1003423701275375,0.23689278464330968,3
cross_condition,TCN,frequency,40.0,0.23742164861430592,0.040864388005459454,0.27791091358359826,0.04562159105283623,0.6777213519822202,0.2780692091306786,0.28762762093987854,0.057946847555402324,0.11797556807392547,3
cross_condition,latent_ode,wavelet_only,40.0,0.24633784380269916,0.035768772832555654,0.28017958353355227,0.0323723131237451,0.34555485851798246,0.11863332568727471,0.2488774150385362,0.042820992128810825,0.3591315714446182,3
cross_condition,Ridge,time,,0.24683277022959962,0.02397322945379361,0.2880149339852934,0.024728844946184426,0.43884658047387753,0.13611210581868471,0.24957384261946944,0.0630446155250006,0.2721110457320359,3
cross_condition,Ridge,wavelet_only,,0.25156165666594954,0.03256659867708762,0.300324393393044,0.036526441037915414,0.44365623981137065,0.12075980046726043,0.23851804943801894,0.058549800465879466,0.3345192351859754,3
cross_condition,latent_ode,frequency,40.0,0.2600743148321283,0.023807413794347178,0.2964307435226854,0.02015403462378247,0.4796849524065731,0.2218291654910913,0.23795191606754282,0.06252914376618773,0.3488290076161947,3
cross_condition,Ridge,frequency,,0.2604113900897545,0.030537091106705765,0.30962036552446176,0.034834928402903934,0.435609522472334,0.16545259888504193,0.30517336161590175,0.09424731841030047,0.3237440331411765,3
cross_condition,Ridge,original,,0.26808365585425636,0.04685367206586243,0.31700455004872446,0.05252681009452891,0.48700768448477855,0.11190683374463918,0.26539082857349827,0.12629460156207092,0.3272878597531812,3
cross_condition,latent_ode,original,40.0,0.2817115801459004,0.041068416255249644,0.3203240520523866,0.05428099162850556,0.5445375905732481,0.09074445486234523,0.2158379351804488,0.04011574721619793,0.34751218923202964,3
